"staSeq","date","sampYr","lev1Name","lev1Memb","lev2Name","lev2Memb","levPropNum","taxa","hq","hydroID"
14195,"1996-11-07",1996,3,0.5,4,0.5,3.5,"bug",0,201496584
14195,"2013-09-26",2013,5,1,5,0,5,"bug",0,201496584
14195,"2011-07-18",2011,3,0.68181818,2,0.318181818,2.681818176,"fish",0,201496584
14195,"2016-10-11",2016,5,0.7804878,4,0.219512195,4.78048778,"bug",0,201496584
14196,"1996-11-14",1996,4,1,4,0,4,"bug",0,201496537
14197,"2014-09-19",2014,4,1,4,0,4,"bug",0,201491761
14197,"2010-09-29",2010,3,1,3,0,3,"bug",0,201491761
14197,"2018-10-23",2018,4,1,4,0,4,"bug",0,201491761
14197,"2017-10-05",2017,4,1,4,0,4,"bug",0,201491761
14197,"2010-07-19",2010,3,0.83333333,2,0.166666667,2.833333323,"fish",0,201491761
14197,"1998-10-20",1998,3,1,3,0,3,"bug",0,201491761
14197,"2012-07-26",2012,3,0.75,4,0.25,3.25,"fish",0,201491761
14197,"2008-09-24",2008,3,0.5,4,0.5,3.5,"bug",0,201491761
14197,"1995-10-18",1995,4,0.964788732,3,0.0352,3.964788732,"bug",0,201491761
14197,"2012-09-24",2012,5,0.964285714,4,0.0357,4.964285714,"bug",0,201491761
14198,"1998-10-20",1998,5,0.912935323,4,0.0871,4.912935323,"bug",0,201491291
14199,"2015-10-01",2015,4,1,4,0,4,"bug",0,201488607
14199,"2009-11-04",2009,3,1,3,0,3,"bug",0,201488607
14199,"1994-07-13",1994,4,1,NA,0,4,"fish",0,201488607
14199,"2009-07-22",2009,3,0.800546448,4,0.19945355,3.199453544,"fish",0,201488607
14201,"1997-11-05",1997,5,1,5,0,5,"bug",0,201497080
14201,"1999-07-08",1999,5,1,NA,0,5,"fish",0,201497080
14201,"2007-10-17",2007,5,1,5,0,5,"bug",0,201497080
14202,"2003-06-26",2003,5,1,NA,0,5,"fish",0,201497080
14202,"2004-10-06",2004,5,1,5,0,5,"bug",0,201497080
14202,"2017-07-10",2017,5,1,NA,0,5,"fish",0,201497080
14202,"2007-10-17",2007,5,1,5,0,5,"bug",0,201497080
14202,"1999-07-26",1999,5,1,NA,0,5,"fish",0,201497080
14202,"2011-06-29",2011,5,1,NA,0,5,"fish",0,201497080
14205,"1999-10-28",1999,4,1,4,0,4,"bug",0,201487876
14206,"2012-09-25",2012,5,0.515283843,4,0.484716157,4.515283843,"bug",0,201486242
14206,"2007-09-18",2007,4,1,4,0,4,"bug",0,201486242
14206,"2014-09-24",2014,4,0.610169492,5,0.389830508,4.389830508,"bug",0,201486242
14206,"1999-10-27",1999,4,0.5,5,0.5,4.5,"bug",0,201486242
14206,"2009-10-22",2009,3,1,3,0,3,"bug",0,201486242
14206,"2004-10-12",2004,4,1,4,0,4,"bug",0,201486242
14206,"2011-08-26",2011,5,1,NA,0,5,"fish",0,201486242
14206,"2009-08-24",2009,4,0.785714286,5,0.21428571,4.214285693,"fish",0,201486242
14206,"1995-10-12",1995,5,1,5,0,5,"bug",0,201486242
14207,"2012-09-25",2012,5,0.871794872,4,0.128205128,4.871794872,"bug",0,201484922
14207,"2009-10-22",2009,4,1,4,0,4,"bug",0,201484922
14207,"1994-07-26",1994,5,1,NA,0,5,"fish",0,201484922
14207,"2014-09-24",2014,4,1,4,0,4,"bug",0,201484922
14207,"2004-10-12",2004,5,1,5,0,5,"bug",0,201484922
14209,"2011-08-24",2011,4,1,NA,0,4,"fish",0,201495008
14209,"2006-07-26",2006,2,0.5,3,0.5,2.5,"fish",0,201495008
14209,"2006-10-24",2006,4,0.5,5,0.5,4.5,"bug",0,201495008
14209,"2011-11-14",2011,3,0.5,4,0.5,3.5,"bug",0,201495008
14209,"2016-10-28",2016,4,0.770833333,5,0.22916667,4.229166683,"bug",0,201495008
14209,"2016-07-20",2016,3,0.75,4,0.25,3.25,"fish",0,201495008
14209,"2013-09-23",2013,5,0.547717842,4,0.452282158,4.547717842,"bug",0,201495008
14212,"2016-08-26",2016,3,0.75,4,0.25,3.25,"fish",0,201494961
14212,"2019-07-24",2019,4,0.611940299,5,0.3880597,4.388059694,"fish",0,201494961
14214,"1999-10-13",1999,4,0.5,5,0.5,4.5,"bug",0,201486892
14214,"2009-06-01",2009,3,0.53191489,2,0.468085106,2.531914883,"fish",0,201486892
14214,"2009-09-24",2009,4,0.5,5,0.5,4.5,"bug",0,201486892
14214,"2010-07-21",2010,3,1,NA,0,3,"fish",0,201486892
14214,"1994-06-16",1994,2,0.5,3,0.5,2.5,"fish",0,201486892
14214,"2010-09-22",2010,4,1,4,0,4,"bug",0,201486892
14214,"2008-10-21",2008,4,1,4,0,4,"bug",0,201486892
14215,"2009-09-24",2009,5,1,5,0,5,"bug",0,201487329
14215,"2009-06-01",2009,5,1,NA,0,5,"fish",0,201487329
14215,"2008-10-22",2008,4,1,4,0,4,"bug",0,201487329
14217,"2011-07-12",2011,4,1,NA,0,4,"fish",0,201491879
14221,"2004-11-02",2004,3,1,3,0,3,"bug",0,201495759
14221,"2013-07-30",2013,4,0.54,5,0.46,4.46,"fish",0,201495759
14221,"2011-06-30",2011,4,0.5,2,0.25,3.25,"fish",0,201495759
14221,"2007-07-09",2007,3,1,NA,0,3,"fish",0,201495759
14221,"2013-10-16",2013,4,0.756756757,3,0.243243243,3.756756757,"bug",0,201495759
14221,"1997-10-21",1997,2,0.5,3,0.5,2.5,"bug",0,201495759
14221,"2009-06-17",2009,3,0.60728745,2,0.392712551,2.607287451,"fish",0,201495759
14221,"2007-10-02",2007,3,1,3,0,3,"bug",0,201495759
14221,"2011-10-13",2011,2,0.5,3,0.5,2.5,"bug",0,201495759
14221,"2009-10-13",2009,2,0.5,3,0.5,2.5,"bug",0,201495759
14221,"2016-10-25",2016,3,1,3,0,3,"bug",0,201495759
14222,"2006-10-06",2006,4,0.5,5,0.5,4.5,"bug",0,201494223
14223,"2006-10-06",2006,4,0.765306122,5,0.234693878,4.234693878,"bug",0,201494223
14223,"2011-07-08",2011,4,1,NA,0,4,"fish",0,201494223
14223,"2006-06-12",2006,3,0.657142857,4,0.34285714,3.342857131,"fish",0,201494223
14226,"1995-10-11",1995,5,1,5,0,5,"bug",0,201494376
14226,"2016-09-21",2016,5,1,5,0,5,"bug",0,201494376
14226,"2011-10-17",2011,5,1,5,0,5,"bug",0,201494376
14226,"1997-11-04",1997,5,1,5,0,5,"bug",0,201494376
14226,"2004-10-13",2004,5,1,5,0,5,"bug",0,201494376
14226,"2019-07-09",2019,3,0.624610592,4,0.37538941,3.375389416,"fish",0,201494376
14226,"1989-11-02",1989,5,1,5,0,5,"bug",0,201494376
14226,"2011-07-05",2011,3,1,NA,0,3,"fish",0,201494376
14226,"2007-06-14",2007,3,1,NA,0,3,"fish",0,201494376
14226,"2013-10-07",2013,5,1,5,0,5,"bug",0,201494376
14226,"2007-10-04",2007,5,1,5,0,5,"bug",0,201494376
14226,"1999-06-22",1999,3,1,NA,0,3,"fish",0,201494376
14226,"2013-06-26",2013,3,1,NA,0,3,"fish",0,201494376
14227,"2011-06-24",2011,3,0.75,4,0.25,3.25,"fish",0,201495646
14227,"1991-09-17",1991,3,1,NA,0,3,"fish",0,201495646
14228,"2018-07-18",2018,4,1,NA,0,4,"fish",0,201494600
14229,"1996-10-31",1996,4,0.614583333,3,0.385416667,3.614583333,"bug",0,201495568
14229,"2011-08-25",2011,4,1,NA,0,4,"fish",0,201495568
14230,"2006-07-26",2006,3,1,NA,0,3,"fish",0,201495568
14235,"1993-11-08",1993,5,1,5,0,5,"bug",0,201490886
14235,"1995-10-27",1995,5,1,5,0,5,"bug",0,201490886
14235,"2008-10-06",2008,5,1,5,0,5,"bug",0,201490886
14235,"2010-09-23",2010,5,1,5,0,5,"bug",0,201490886
14235,"1998-10-26",1998,5,1,5,0,5,"bug",0,201490886
14235,"1992-10-29",1992,5,1,5,0,5,"bug",0,201490886
14235,"2008-07-10",2008,4,0.751968504,5,0.2480315,4.248031516,"fish",0,201490886
14237,"1993-11-08",1993,5,1,5,0,5,"bug",0,201490488
14238,"2019-09-19",2019,3,1,NA,0,3,"fish",0,201489051
14238,"2003-07-29",2003,4,1,NA,0,4,"fish",0,201489051
14238,"2011-07-25",2011,3,0.67307692,2,0.326923077,2.673076914,"fish",0,201489051
14238,"1998-10-26",1998,5,1,5,0,5,"bug",0,201489051
14238,"2008-10-06",2008,5,1,5,0,5,"bug",0,201489051
14241,"2010-09-23",2010,5,1,5,0,5,"bug",0,201489364
14241,"2008-07-30",2008,3,1,NA,0,3,"fish",0,201489364
14241,"2003-07-29",2003,4,0.90277778,3,0.097222222,3.902777787,"fish",0,201489364
14241,"2008-10-06",2008,5,1,5,0,5,"bug",0,201489364
14241,"2003-11-13",2003,5,0.5,6,0.5,5.5,"bug",0,201489364
14241,"2012-10-15",2012,5,1,5,0,5,"bug",0,201489364
14241,"2016-09-01",2016,4,0.68518519,3,0.314814815,3.685185204,"fish",0,201489364
14241,"2017-08-24",2017,4,1,NA,0,4,"fish",0,201489364
14241,"2012-07-19",2012,3,0.75,4,0.25,3.25,"fish",0,201489364
14241,"2004-10-05",2004,5,1,5,0,5,"bug",0,201489364
14241,"1998-10-26",1998,5,1,5,0,5,"bug",0,201489364
14242,"2008-07-30",2008,3,0.848837209,4,0.15116279,3.151162788,"fish",0,201489843
14242,"2003-11-13",2003,4,0.5,5,0.5,4.5,"bug",0,201489843
14242,"2008-10-06",2008,4,1,4,0,4,"bug",0,201489843
14242,"1989-08-31",1989,3,1,NA,0,3,"fish",0,201489843
14242,"1998-10-26",1998,5,1,5,0,5,"bug",0,201489843
14242,"2011-07-25",2011,3,1,NA,0,3,"fish",0,201489843
14244,"1993-11-08",1993,5,1,5,0,5,"bug",0,201490463
14244,"1998-10-26",1998,5,1,5,0,5,"bug",0,201490463
14244,"2011-07-26",2011,3,0.83333333,2,0.166666667,2.833333323,"fish",0,201490463
14247,"2006-09-21",2006,3,1,3,0,3,"bug",0,201490244
14247,"2006-07-24",2006,3,0.806122449,4,0.19387755,3.193877547,"fish",0,201490244
14247,"1996-11-06",1996,2,1,2,0,2,"bug",1,201490244
14247,"2008-09-25",2008,3,1,3,0,3,"bug",0,201490244
14247,"2011-10-21",2011,4,0.778846154,3,0.221153846,3.778846154,"bug",0,201490244
14247,"2016-10-28",2016,4,1,4,0,4,"bug",0,201490244
14247,"2013-10-08",2013,4,1,4,0,4,"bug",0,201490244
14248,"2014-10-03",2014,5,1,5,0,5,"bug",0,201495033
14248,"2008-10-08",2008,5,1,5,0,5,"bug",0,201495033
14248,"2011-11-14",2011,5,1,5,0,5,"bug",0,201495033
14248,"2006-07-26",2006,4,0.68518519,3,0.314814815,3.685185204,"fish",0,201495033
14248,"2011-06-16",2011,4,1,NA,0,4,"fish",0,201495033
14248,"2006-10-06",2006,5,1,5,0,5,"bug",0,201495033
14249,"2011-08-12",2011,3,0.89873418,2,0.101265823,2.898734186,"fish",0,201490718
14250,"2008-06-09",2008,3,0.79936306,2,0.200636943,2.799363065,"fish",0,201490718
14250,"2008-10-06",2008,5,1,5,0,5,"bug",0,201490718
14250,"2013-11-06",2013,5,1,5,0,5,"bug",0,201490718
14251,"2008-09-25",2008,4,1,4,0,4,"bug",0,201491264
14251,"2013-09-18",2013,4,1,4,0,4,"bug",0,201491264
14251,"2016-09-28",2016,4,1,4,0,4,"bug",0,201491264
14252,"1992-08-03",1992,4,0.814814815,5,0.18518519,4.185185209,"fish",0,201491943
14252,"2011-08-08",2011,5,1,NA,0,5,"fish",0,201491943
14252,"2008-09-02",2008,4,0.5625,5,0.4375,4.4375,"fish",0,201491943
14254,"1994-10-25",1994,4,1,4,0,4,"bug",0,201491003
14254,"2016-09-28",2016,4,0.856060606,5,0.14393939,4.143939374,"bug",0,201491003
14254,"2006-10-05",2006,4,1,4,0,4,"bug",0,201491003
14254,"2015-09-21",2015,5,0.867924528,4,0.132075472,4.867924528,"bug",0,201491003
14254,"1997-10-02",1997,5,1,5,0,5,"bug",0,201491003
14256,"2001-07-09",2001,2,0.5,3,0.5,2.5,"fish",0,201491735
14257,"2001-07-09",2001,2,0.5,3,0.5,2.5,"fish",0,201491735
14260,"2008-10-15",2008,3,0.717391304,2,0.282608696,2.717391304,"bug",0,201492779
14260,"2012-07-02",2012,3,0.56962025,2,0.430379747,2.569620244,"fish",0,201492779
14260,"2009-07-20",2009,2,0.545454545,3,0.45454545,2.454545441,"fish",1,201492779
14260,"2012-09-18",2012,4,0.79389313,3,0.20610687,3.79389313,"bug",0,201492779
14260,"2017-06-22",2017,3,0.75,4,0.25,3.25,"fish",0,201492779
14260,"1998-10-27",1998,3,1,3,0,3,"bug",0,201492779
14261,"2019-06-14",2019,4,1,NA,0,4,"fish",0,201492401
14261,"2019-10-09",2019,4,0.81114551,3,0.188854489,3.811145507,"bug",0,201492401
14263,"2010-10-04",2010,4,1,4,0,4,"bug",0,201492401
14263,"2012-06-29",2012,4,1,NA,0,4,"fish",0,201492401
14263,"2001-07-18",2001,4,0.78846154,3,0.211538462,3.788461545,"fish",0,201492401
14263,"2012-10-05",2012,5,1,5,0,5,"bug",0,201492401
14263,"2007-08-14",2007,2,1,NA,0,2,"fish",1,201492401
14263,"2000-10-20",2000,4,0.629770992,5,0.370229008,4.370229008,"bug",0,201492401
14263,"2019-10-09",2019,5,1,5,0,5,"bug",0,201492401
14263,"2014-10-09",2014,5,1,5,0,5,"bug",0,201492401
14263,"2010-07-01",2010,3,0.847444089,4,0.15255591,3.152555908,"fish",0,201492401
14263,"2019-06-14",2019,4,0.666666667,5,0.33333333,4.333333317,"fish",0,201492401
14264,"2010-08-19",2010,4,0.646341463,5,0.35365854,4.353658554,"fish",0,201489134
14270,"2010-08-13",2010,3,0.916666667,4,0.08333333,3.08333332,"fish",0,201489134
14270,"1989-09-18",1989,4,1,NA,0,4,"fish",0,201489134
14273,"2001-07-05",2001,4,0.97777778,3,0.022222222,3.977777787,"fish",0,201496202
14275,"2005-07-15",2005,4,1,NA,0,4,"fish",0,201486680
14276,"1999-11-01",1999,3,1,3,0,3,"bug",0,201486680
14277,"2014-10-15",2014,3,1,3,0,3,"bug",0,201491281
14277,"2017-08-21",2017,4,0.5,5,0.5,4.5,"fish",0,201491281
14277,"2006-09-19",2006,4,0.876811594,5,0.12318841,4.123188427,"fish",0,201491281
14277,"2006-09-20",2006,3,0.5,4,0.5,3.5,"bug",0,201491281
14277,"2012-07-13",2012,4,1,NA,0,4,"fish",0,201491281
14277,"1999-10-07",1999,3,1,3,0,3,"bug",0,201491281
14277,"2004-07-06",2004,3,0.777777778,4,0.22222222,3.222222213,"fish",0,201491281
14277,"2009-10-14",2009,3,1,3,0,3,"bug",0,201491281
14277,"2005-07-13",2005,3,0.520576132,4,0.47942387,3.479423875,"fish",0,201491281
14277,"2009-09-02",2009,4,1,NA,0,4,"fish",0,201491281
14277,"1993-11-16",1993,3,1,3,0,3,"bug",0,201491281
14278,"2009-09-02",2009,5,0.9,4,0.1,4.9,"fish",0,201491503
14278,"2000-06-27",2000,4,1,NA,0,4,"fish",0,201491503
14278,"1993-11-16",1993,5,1,5,0,5,"bug",0,201491503
14278,"2015-10-05",2015,4,1,4,0,4,"bug",0,201491503
14278,"2012-07-13",2012,5,0.727272727,6,0.27272727,5.272727256,"fish",0,201491503
14278,"2009-11-09",2009,3,0.5,4,0.5,3.5,"bug",0,201491503
14278,"1999-10-07",1999,5,1,5,0,5,"bug",0,201491503
14278,"2014-10-15",2014,5,0.67816092,4,0.32183908,4.67816092,"bug",0,201491503
14278,"2012-10-23",2012,4,1,4,0,4,"bug",0,201491503
14278,"2010-09-20",2010,4,1,4,0,4,"bug",0,201491503
14278,"2000-11-01",2000,4,1,4,0,4,"bug",0,201491503
14280,"2011-11-07",2011,4,1,4,0,4,"bug",0,201495871
14280,"2016-10-28",2016,4,0.5,5,0.5,4.5,"bug",0,201495871
