staSeq,locationName,locationDescription,locationType,ylat,xlong,stateCd,munName,subBasin
14651,Stamford Harbor,at Bouy #9 in Stamford Harbor,Estuary,41.0226,-73.5366,CT,STAMFORD,7000
14834,Long Island Sound,Western,Estuary,41.0245,-73.3886,CT,Unknown,0
17261,H6,Herod Point,Estuary,41.026,-72.9135,NY,BROOKHAVEN  NY,0
19026,Horseneck Brook,Upstream Rte 1  behind #177 Putnam Ave,River/Stream,41.027382,-73.633868,CT,GREENWICH,7409
16002,Pemberwick Brook,at Comley Drive and Pemberwick Road,River/Stream,41.0274,-73.661,CT,GREENWICH,7411
14150,Byram River,downstream Comley Avenue,River/Stream,41.0276,-73.6621,CT,GREENWICH,7411
18939,Horseneck Brook,US of Valley Rd,River/Stream,41.030432,-73.640064,CT,GREENWICH,7409
16753,Horseneck Brook,Below Driveway for Eaglehill School,River/Stream,41.0319,-73.6417,CT,GREENWICH,7409
16910,No Name (Binney Park),75 M N of RR tracks,River/Stream,41.0325,-73.5719,CT,GREENWICH,7000
14650,Long Island Sound,Southwest Long Neck Point,Estuary,41.0355,-73.4864,CT,STAMFORD,7000
15829,Stamford Hurricane Barrier,STAMFORD HURRICANE BARRIER AT STAMFORD,Estuary,41.0369,-73.5347,CT,STAMFORD,7000
14649,Cove Harbor,Outside Cove Harbor entrance,Estuary,41.0406,-73.4955,CT,STAMFORD,7000
17224,8,Huntington Bay,Estuary,41.040833,-73.418,NY,HUNTINGTON  NY,0
15233,Greenwich Creek  tributary to,Near High School,River/Stream,41.0414,-73.6147,CT,GREENWICH,7408
18938,Byram River,under Bailwick Rd,River/Stream,41.046332,-73.662624,CT,GREENWICH,7411
15389,Byram River,upstream of Bailiwick Road behind Covenant of Sacred Heart School,River/Stream,41.0464,-73.6625,CT,GREENWICH,7411
16707,Greenwich Creek,US Deadend road for skating rink,River/Stream,41.0467,-73.6119,CT,GREENWICH,7408
20138,LIS Trawl 03-28,Eastern LIS - NY,Estuary,41.0486,-72.64445,CT,Unknown,0
19342,Mianus Pond,center of lake,Riverine Impoundment,41.05,-73.586,CT,GREENWICH,7407
18494,Rippowam River (Mill River),US Main Street  within Mill River Park,River/Stream,41.053907,-73.545591,CT,STAMFORD,7405
17231,19,Stratford / Port Jefferson,Estuary,41.055333,-73.080833,NY,BROOKHAVEN  NY,0
17227,13,Black Rock Harbor Entrance,Estuary,41.058333,-73.234333,CT,FAIRFIELD,0
15110,Rippowam River,Adjacent to south parking lot at school,River/Stream,41.0604,-73.5464,CT,STAMFORD,7405
17768,Byram River,at Sherwood Avenue,River/Stream,41.060895,-73.677529,CT,GREENWICH,7411
16146,East Branch Byram River,under  Route 15 adjacent to Riverville Road,River/Stream,41.0612,-73.6748,CT,GREENWICH,7410
20140,LIS Trawl 01-28,Eastern LIS - NY,Estuary,41.06203,-72.49875,CT,Unknown,0
19546,Noroton River,AT I-95,River/Stream,41.06349,-73.508834,CT,STAMFORD,7403
19495,Mianus River,Parallel to River Rd below Filtration plant dam,River/Stream,41.064169,-73.579285,CT,GREENWICH,7407
16621,East Branch Byram River,Below Pond at Boy Scout Camp,River/Stream,41.0656,-73.6733,CT,GREENWICH,7410
14432,Rippowam River,downstream Bridge Street in Woodside Park,River/Stream,41.0661,-73.5484,CT,STAMFORD,7405
19597,Rippowam River,AT STAMFORD (Upstream Bridge Street),River/Stream,41.066111,-73.54927,CT,STAMFORD,7405
19699,Rippowam River,Behind Candelight Terrace condos (#154 Cold Spring Rd),River/Stream,41.066398,-73.55384,CT,STAMFORD,7405
20049,Byram River,Between Fairview Country Club and Hycliff Road (Audubon property),River/Stream,41.0704,-73.6857,CT,GREENWICH,7411
17254,9,Saugatuck River Entrance,Estuary,41.070833,-73.336167,CT,WESTPORT,0
17720,Fivemile River,at Cudlipp Street,Estuary,41.073114,-73.447589,CT,DARIEN,7401
14356,Noroton River,downstream Middlesex Road,River/Stream,41.0753,-73.5155,CT,STAMFORD,7403
18896,Converse Pond Brook,Upstream of Merritt Prkwy,River/Stream,41.075327,-73.669271,CT,GREENWICH,7410
20139,LIS Trawl 04-30,Eastern LIS - NY,Estuary,41.07608,-72.54045,CT,Unknown,0
16698,Goodwives River,Below Grannaston Lane,River/Stream,41.0761,-73.4669,CT,DARIEN,7402
17239,28,Branford Harbor,Estuary,41.078167,-72.8335,CT,BRANFORD,0
20645,East Branch Converse Pond Brook,400 ft downstream of Porchuck Road,River/Stream,41.079014,-73.676938,CT,Greenwich,7410
17257,F2,Bridgeport,Estuary,41.080333,-73.165333,CT,STRATFORD,0
14293,Mianus River,upstream Merribrook Lane,River/Stream,41.0806,-73.5812,CT,STAMFORD,7407
16586,Converse Pond Brook,Parallel to Merritt Parkway west of exit 28,River/Stream,41.0819,-73.6656,CT,GREENWICH,7410
17234,22,Milford Harbor,Estuary,41.082333,-73.022833,CT,MILFORD,0
17310,Horseneck Brook,below Putnum lake 20' downstream of small pump? Building,River/Stream,41.0831,-73.6403,CT,GREENWICH,7409
17083,Stony Brook,Above High School Lane at Darien Methodist Church,River/Stream,41.0839,-73.4878,CT,DARIEN,7402
18940,Rockwood Lake Brook,DS of Taconic Road,River/Stream,41.085105,-73.623437,CT,GREENWICH,7408
18944,Cummings Brook,adj to Royale Rd,River/Stream,41.08594,-73.476216,CT,DARIEN,7402
18967,"Byram River  Unnamed Tributary to (Sutton's Brook"")""",900ft Southeast of Audubon Lane culdesac,River/Stream,41.086034,-73.70111,CT,GREENWICH,7411
17308,Aquarion  DSN 101,Lagoon closest to settling tanks Lagoon discharge 1,Wetland Undifferentiated,41.0871,-73.6379,CT,GREENWICH,7409
17309,Aquarion Putnum lake,second lagoon discharge,Wetland Undifferentiated,41.0876,-73.6377,CT,GREENWICH,7409
16662,Fivemile River,US King Highway,River/Stream,41.0878,-73.4522,CT,NORWALK,7401
17719,Fivemile River,at Flax Hill Road and Shady brook Lane,River/Stream,41.088136,-73.450741,CT,NEW CANAAN,7401
17012,Rockwood Lake outflow; downstream of Rte 15,Below Rte 15,River/Stream,41.0886,-73.6272,CT,GREENWICH,7408
14358,Noroton River,Behind St. John's Cemetary,River/Stream,41.0898,-73.5152,CT,STAMFORD,7403
19355,Putnam Lake,center of lake,Reservoir,41.09,-73.639,CT,GREENWICH,7409
17718,Keelers Brook,at Primrose Court,River/Stream,41.090777,-73.440977,CT,NORWALK,7401
15111,Rippowam River,Adjacent to Pine Hill School,River/Stream,41.0919,-73.5597,CT,STAMFORD,7405
16788,Keeler Brook,Above Flax Hill Rd,River/Stream,41.092,-73.4397,CT,NORWALK,7401
14292,Mianus River,Old Mill Road,River/Stream,41.0934,-73.5857,CT,STAMFORD,7407
14149,Byram River,downstream Bedford Road,River/Stream,41.094506,-73.704449,CT,GREENWICH,7411
14357,Noroton River,upstream Camp Avenue,River/Stream,41.0954,-73.5143,CT,STAMFORD,7403
17246,J4,Horton Neck,Estuary,41.0975,-72.45,NY,SOUTHOLD  NY,0
14851,East Branch Byram River,downstream John Street,River/Stream,41.0983,-73.6817,CT,GREENWICH,7410
18142,Keeler Brook,at Rampart Road,River/Stream,41.09926,-73.442385,CT,NORWALK,7401
15239,East Branch Byram River,upstream John Street (Audubon property),River/Stream,41.0995,-73.6832,CT,GREENWICH,7410
16275,Converse Pond Brook,approximately 0.5 miles upstream Cherry Valley Road,River/Stream,41.1001,-73.655,CT,GREENWICH,7410
17717,Fivemile River,at West Cedar Street and Beechwood Road,River/Stream,41.100452,-73.454333,CT,NORWALK,7401
17260,H4,New Haven Harbor Entrance,Estuary,41.101667,-72.934,CT,WEST HAVEN,0
19073,Saugatuck Harbor 02,offshore  Harbor proper in the vicinity of Harbor Rd and Canal Rd,Estuary,41.101733,-73.373833,CT,WESTPORT,7000
17723,Keeler Brook,at West Cedar Street,River/Stream,41.103188,-73.441438,CT,NORWALK,7401
20527,Horseneck Brook  Unnamed tributary to,Within Babcock Preserve off North Street,River/Stream,41.104078,-73.633311,CT,GREENWICH,7409
14291,Mianus River,June Road,River/Stream,41.1043,-73.5865,CT,STAMFORD,7407
17724,Keeler Brook,at Scribner Ave,River/Stream,41.104985,-73.44137,CT,NORWALK,7401
18971,Converse Pond Brook,100m downstream Lake Ave,River/Stream,41.10526,-73.653078,CT,GREENWICH,7410
16587,Converse Pond Brook,Above Lake Ave,River/Stream,41.1056,-73.6511,CT,GREENWICH,7410
17725,Keeler Brook,at Ledgebrook Drive,River/Stream,41.106103,-73.440386,CT,NORWALK,7401
17726,Keeler Brook,at Gillies Lane,River/Stream,41.107174,-73.441357,CT,NORWALK,7401
17727,Keeler Brook  pond to,at outlet of the pond,River/Stream,41.107616,-73.439205,CT,NORWALK,7401
19358,Rockwood Lake Reservoir,center of lake,Reservoir,41.108,-73.624,CT,GREENWICH,7409
15482,King Industries,at Basin outlet,Facility Industrial,41.1081,-73.4115,CT,NORWALK,7300
17226,12,Shoal Point  Fairfield,Estuary,41.108667,-73.253,CT,FAIRFIELD,0
17716,Holy Ghost Fathers Brook,at Geneva Road,River/Stream,41.110019,-73.456249,CT,NORWALK,7401
17715,Fivemile River,at Fillow Street,River/Stream,41.110664,-73.461894,CT,NORWALK,7401
18937,East Br. Mianus River,Above Riverbank Rd,River/Stream,41.110999,-73.587656,CT,STAMFORD,7406
18943,Rippowam River,at Studio Rd,River/Stream,41.111187,-73.554711,CT,STAMFORD,7405
15942,Long Island Sound,SISP-W Near Bathouses West side of beach,Estuary,41.1113,-73.3375,CT,WESTPORT,0
15941,Long Island Sound,SISP-M Near Point Fishing Area Middle of beach,Estuary,41.1122,-73.3273,CT,WESTPORT,0
14431,Rippowam River,between old bridge and Round Hill Road (Route 137),River/Stream,41.1134,-73.5471,CT,STAMFORD,7405
18942,Springdale Brook,US of Woodbrook dr,River/Stream,41.113739,-73.522881,CT,STAMFORD,7403
17062,Springdale Brook,End of Parry Court,River/Stream,41.1144,-73.5205,CT,NEW CANAAN,7403
15940,Long Island Sound,SISP-E Near Jetty East side of beach,Estuary,41.1149,-73.3223,CT,WESTPORT,0
15604,Indian River,near confluence with Saugatuck estuary,River/Stream,41.1162,-73.3756,CT,WESTPORT,7000
19074,Saugatuck Harbor 04,downstream from RR bridge  west of Jackie Lane  north of small island,Estuary,41.119067,-73.368517,CT,WESTPORT,7000
14558,Norwalk River,upstream Route 1,River/Stream,41.1194,-73.417,CT,NORWALK,7300
17229,16,Bridgeport,Estuary,41.120333,-73.1625,CT,BRIDGEPORT,0
15605,Indian River,on Hogan Trail (midpoint),River/Stream,41.1209,-73.3798,CT,WESTPORT,7000
17230,18,Stratford,Estuary,41.122333,-73.09,CT,STRATFORD,0
16205,Norwalk River,adjacent to Riverside Drive across from Riverside Cemetary,River/Stream,41.1231,-73.425,CT,NORWALK,7300
18919,Mianus River,US Farms Rd,River/Stream Perennial,41.1234,-73.6088,CT,STAMFORD,7407
15471,Sasco Brook,at mouth mouth at Pequot ave,Estuary,41.1249,-73.299,CT,WESTPORT,7109
16729,Haviland Brook,Above Bridge in Chestnut Park,River/Stream,41.125,-73.5692,CT,STAMFORD,7405
18639,Betts Pond Brook,Within town park at Cannon Street and Sawmill Road crossing,River/Stream,41.12589,-73.40719,CT,NORWALK,7300
15472,Sasco Brook Beach,at beach adjacent to Pequot Ave,Estuary,41.1263,-73.2955,CT,FAIRFIELD,7109
14371,Norwalk River,upstream Route 123,River/Stream,41.1267,-73.4295,CT,NORWALK,7300
18463,Fivemile River,at Nursery Road,River/Stream,41.12685,-73.47101,CT,NEW CANAAN,7401
20142,LIS Trawl 07-19,Western LIS - CT,Estuary,41.12707,-72.96292,CT,Unknown,0
16025,Muddy Brook,upstream Green Farm Road and Center Street,River/Stream,41.1276,-73.3294,CT,WESTPORT,7000
18477,FBY1,Next to flagpole at boat yard,Estuary,41.129,-73.285,CT,FAIRFIELD,7108
16157,Bargh Reservoir,at deepest part of lake,Reservoir,41.1301,-73.6128,CT,STAMFORD,7407
18945,Noroton River,at Indian Waters Dr,River/Stream,41.130653,-73.508094,CT,NEW CANAAN,7403
14557,Norwalk River,upstream Broad Street,River/Stream,41.1319,-73.4301,CT,NORWALK,7300
16000,Muddy Brook,at Center street pump station,River/Stream,41.1326,-73.3286,CT,WESTPORT,7000
19075,Saugatuck Harbor 06,offshore  northwest of Sylvan Rd  southwest of Riversdie Ave (Rte 33)  north of Riverview Rd,Estuary,41.132683,-73.366383,CT,WESTPORT,7000
18968,LIS Field Blank,New Haven Harbor,Estuary,41.133158,-72.898406,CT,WEST HAVEN,0
16001,Muddy Brook  tributary to,at confluence with Muddy Brook,River/Stream,41.1332,-73.3285,CT,WESTPORT,7000
16622,East Branch Mianus River,US Wildwood Rd Bridge Parallel to Hapsicord Lane,River/Stream,41.1333,-73.5883,CT,STAMFORD,7406
18138,Stony Brook,75M ABOVE SILVER LANE,River/Stream,41.1334,-73.36832,CT,WESTPORT,7200
15470,Drainage Ditch to Sasco Brook,at confluence small drainage creek/sasco brook below Westway Rd,Land Runoff,41.1338,-73.2948,CT,FAIRFIELD,7109
18775,Poorhouse Brook,Within Barlett Arboretum (US red trail pedestrian bridge),River/Stream,41.134678,-73.551404,CT,STAMFORD,7405
15458,Green Farms Storm Drain,in Green Farms strom drain network 200 ft US site 6D,Storm Sewer,41.1358,-73.2974,CT,WESTPORT,7109
14361,Norwalk River,upstream Perry Avenue,River/Stream,41.1359,-73.426,CT,NORWALK,7300
14556,Silvermine River,upstream James Street,River/Stream,41.1361,-73.4346,CT,NORWALK,7302
16175,Silvermine River,behind #63 Perry Ave,River/Stream,41.1363,-73.4301,CT,NORWALK,7302
18389,Fivemile River,at Old Norwalk Rd bridge,River/Stream,41.136499,-73.479299,CT,NEW CANAAN,3400
14202,Five Mile River,under Old Norwalk Road,River/Stream,41.1365,-73.4793,CT,NEW CANAAN,7401
15459,Green Farms Storm Drain,in Green Farms strom drain network 300 ft US site 6D,Storm Sewer,41.1367,-73.2988,CT,WESTPORT,7109
14654,Culvert to Norwalk River,at end of pipe culvert upstream of site 41,Storm Sewer,41.1368,-73.4263,CT,NORWALK,7300
15473,Drainage Ditch to Sasco Brook,DS Center Street,Land Runoff,41.1369,-73.2919,CT,FAIRFIELD,7109
15453,Stop and Shop storm drain,at outlet storm drain network at stop and shop plaza,Storm Sewer,41.1371,-73.3002,CT,WESTPORT,7109
15456,Woodhill/Green Farms Storm Drain,at outlet strom drain network behind toys r us,Storm Sewer,41.1371,-73.2974,CT,WESTPORT,7109
15457,Sasco Brook,south side Green Farms Road-200 yards south of rte 1.,Estuary,41.1371,-73.2969,CT,WESTPORT,7109
15452,Sasco Brook,at discharge point for storm drains,Estuary,41.1373,-73.2972,CT,WESTPORT,7109
17262,I2,Sachem Head,Estuary,41.1375,-72.655,NY,SOUTHOLD  NY,0
15451,Sasco Brook,100 meters downstream Route 1,Estuary,41.1379,-73.2976,CT,WESTPORT,7109
15455,Route 1 storm drain,at outlet 20 feet south rte 1 bridge on west bank,Storm Sewer,41.138,-73.2978,CT,WESTPORT,7109
18478,TG1,just above overflow of tide gate,Estuary,41.138,-73.275,CT,FAIRFIELD,7108
15454,Sasco Brook,south side post road bridge,Estuary,41.1382,-73.2978,CT,WESTPORT,7109
15297,Sasco Brook,at Route 1 above dam,River/Stream,41.1387,-73.298,CT,FAIRFIELD,7109
19939,Grays Pond,At deepest part of lake. Site Z NLA2017,Lake,41.139,-73.62286,CT,GREENWICH,7407
18479,PRC1,underneath rout one bridge crossing,Estuary,41.14,-73.274,CT,FAIRFIELD,7108
16406,Black Rock Harbor,West side of the channel just before the second light of the outer harbor near F,Estuary,41.14,-73.22,CT,BRIDGEPORT,7000
17235,23,New Haven Harbor Entrance,Estuary,41.140167,-72.948833,CT,NEW HAVEN,0
15450,Sasco Brook  tributary to,at footbridge in Fairfield Town Park off Hulls Highway,River/Stream,41.1413,-73.2985,CT,FAIRFIELD,7109
14201,Five Mile River,downstream Lakeview Avenue,River/Stream,41.1418,-73.4833,CT,NEW CANAAN,7401
18465,Stony Brook,upstream of Nash Pond,River/Stream,41.141898,-73.37748,CT,WESTPORT,7200
19929,Mianus Reservoir,center of lake,Reservoir,41.143,-73.613,CT,GREENWICH,7407
15460,Sasco Brook  tributary to,North side Daybreak Lane,River/Stream,41.1432,-73.2959,CT,FAIRFIELD,7109
14808,Norwalk River,downstream Glover Ave,River/Stream,41.1433,-73.4269,CT,NORWALK,7300
16024,Norwalk River  Unknown Pipe to,upstream Glover Ave,Storm Sewer,41.1434,-73.4269,CT,NORWALK,7300
14807,Norwalk River,upstream Glover Ave,River/Stream,41.1436,-73.4269,CT,NORWALK,7300
15396,Silvermine River,DS Silvermine Elementary School,River/Stream,41.1452,-73.4419,CT,NORWALK,7302
15357,Sasco Brook,at Wakeman Lane,River/Stream,41.1457,-73.3012,CT,FAIRFIELD,7109
16405,Black Rock Harbor,west side of the channel just before the first light of the outer harbor,Estuary,41.1458,-73.22,CT,BRIDGEPORT,7000
15461,Sasco Brook  tributary to,East side Flintlock Lane,River/Stream,41.146,-73.2936,CT,FAIRFIELD,7109
18129,Sasco Brook,downstream trib entering at Ulbrick Lane,River/Stream,41.14675,-73.30325,CT,WESTPORT,7109
15462,Sasco Brook  tributary to,100 feet north Flintlock Lane,River/Stream,41.1468,-73.2938,CT,FAIRFIELD,7109
15463,Sasco Brook  tributary to,100 feet north Flintlock Lane,River/Stream,41.1468,-73.2931,CT,FAIRFIELD,7109
18131,Sasco Brook  Tributary to,upstream of FCHC paddock and small trib near riding rings,River/Stream,41.14683,-73.30839,CT,WESTPORT,7109
18133,Sasco Brook  Tributary to,at mouth of trib end of Ulbrick lane,River/Stream,41.14689,-73.30336,CT,WESTPORT,7109
18132,Sasco Brook  Tributary to,above bridge crossing trib to paddock below confluence with 2 branchs,River/Stream,41.147,-73.30864,CT,WESTPORT,7109
18130,Sasco Brook  Tributary to,between riding rings and hunts club land homes,River/Stream,41.14703,-73.30903,CT,WESTPORT,7109
18128,Sasco Brook,upstream of trib entering at Ulbrick Lane,River/Stream,41.14706,-73.30322,CT,WESTPORT,7109
14203,Five Mile River,upstream East Street (Route 106),River/Stream,41.1478,-73.4835,CT,NEW CANAAN,7401
15449,Sasco Brook  tributary to,North side Bulkley Ave. Adj to Fairfield Co. Hunt Club,River/Stream,41.1479,-73.3073,CT,WESTPORT,7109
15397,Silvermine River,US Silvermine Elementary School,River/Stream,41.1483,-73.443,CT,NORWALK,7302
16907,No Name,Below Little Brook Rd,River/Stream,41.1494,-73.4808,CT,NEW CANAAN,7401
16347,Saugatuck River,at Wood Dam off Bolton Lane,Riverine Impoundment,41.1495,-73.3661,CT,WESTPORT,7200
16404,Black Rock Harbor,West side of the channel between buoy 9 and 10; midway between the modern tan ap,Estuary,41.15,-73.2192,CT,BRIDGEPORT,7000
14452,Silvermine River,end of Alvin Road downstream of Perry Avenue,River/Stream,41.1503,-73.4434,CT,NORWALK,7302
18941,Rippowam River,US of cascade/woodbine road,River/Stream,41.150336,-73.534197,CT,NEW CANAAN,7405
15285,Mill River,at Sturges Road,River/Stream,41.1504,-73.2726,CT,FAIRFIELD,7108
15398,Silvermine River,US Perry Ave,River/Stream,41.1515,-73.446,CT,NORWALK,7302
15857,Mill River,at upper parking lot Perry Mill Pond River Lab access area,River/Stream,41.1521,-73.2726,CT,FAIRFIELD,7108
16456,Housatonic river at mouth,"150' from discharge point  with no discharge   15 out""",Estuary,41.1523,-73.1024,CT,STRATFORD,6000
16458,Housatonic River Lordship Point,at discharge pipe sampled  from  discharge tray,Wetland Undifferentiated,41.1523,-73.1023,CT,STRATFORD,6000
16457,Housatonic River Lordship Point,100' downstream of discharge point. 20' out stake inplace on upland,Estuary,41.1526,-73.1023,CT,STRATFORD,6000
14667,Sasco Brook,Downstream Hulls Farm Road,River/Stream,41.1528,-73.306,CT,WESTPORT,7109
15468,Hulls Farm Road Storm Drain,Southwest side Hulls Farm Road,Storm Sewer,41.1529,-73.3059,CT,FAIRFIELD,7109
15399,Silvermine River,US small farm at confluence with Belden Hill Brook,River/Stream,41.1533,-73.4484,CT,NORWALK,7302
16403,Black Rock Harbor,West side of the channel between buoy 12 and 13; near the shoutheast shore of Bu,Estuary,41.1547,-73.2167,CT,BRIDGEPORT,7000
15448,Sasco Brook  tributary to,North side Sturges Common Road west of Sturges HW,River/Stream,41.1555,-73.3112,CT,WESTPORT,7109
17714,Fivemile River,upstream Route 123 at Parade Hill Road,River/Stream,41.155567,-73.493611,CT,NEW CANAAN,7401
15400,Silvermine River,At NNT confluence,River/Stream,41.1567,-73.4498,CT,WILTON,7302
16402,Black Rock Harbor,near the middle of the channel  directly out from the Texaco sign,Estuary,41.1575,-73.2125,CT,BRIDGEPORT,7000
17238,27,Branford Harbor,Estuary,41.158667,-72.8495,CT,BRANFORD,0
15401,Silvermine River,DS Borglum Road,River/Stream,41.1597,-73.4529,CT,WILTON,7302
16287,Laurel Reservoir Outlet,at mouth upstream confluence with Rippowam River,River/Stream,41.1601,-73.5391,CT,NEW CANAAN,7404
15358,Great Brook,at Morehouse Lane,Reservoir,41.1603,-73.3018,CT,FAIRFIELD,7109
17713,Fivemile River  Tributary to,at Route 123 near #183 mailbox,River/Stream,41.160781,-73.494436,CT,NEW CANAAN,7401
16407,Black Rock Harbor,NULL,Estuary,41.1611,-73.21,CT,BRIDGEPORT,7000
16408,Black Rock Harbor,NULL,Estuary,41.1611,-73.2078,CT,BRIDGEPORT,7000
15609,Poplar Plain Brook,downstream Route 33 at Camp M footbridge,River/Stream,41.1618,-73.3691,CT,WESTPORT,7200
17736,Poplar Plains Brook,at Route 33,River/Stream,41.161972,-73.37508,CT,WESTPORT,7200
15447,Sasco Brook,South side Ingleside Road 200 yards east of Sturges HW,River/Stream,41.1621,-73.3121,CT,FAIRFIELD,7109
15402,Silvermine River,DS New Canaan Road,River/Stream,41.1626,-73.4626,CT,WILTON,7302
15368,Saugatuck River,at Camp Mohackeno Boat Dock,Riverine Impoundment,41.1629,-73.3675,CT,WESTPORT,7200
18136,Deadman Brook,CROSS HIGHWAY,River/Stream,41.16309,-73.33497,CT,WESTPORT,7200
15828,Norwalk River,NORWALK RIVER AT SOUTH WILTON,River/Stream,41.1636,-73.4197,CT,WILTON,7300
14555,Norwalk River,upstream Kent Road (USGS gauge),River/Stream,41.1639,-73.4193,CT,WILTON,7300
17233,21,Milford Harbor,Estuary,41.164,-73.014833,CT,MILFORD,0
16401,Black Rock Harbor,last piling in front of the half blue buildling on the east side of the channel;,Estuary,41.1642,-73.205,CT,BRIDGEPORT,7000
20635,Browns Brook,DS of Governors Ln,River/Stream,41.165218,-73.286969,CT,FAIRFIELD,7108
15827,Mill River,MILL RIVER NEAR FAIRFIELD,River/Stream,41.1653,-73.2706,CT,FAIRFIELD,7108
15671,Bridgeport Energy,outfall into Bridgeport harbor outfall structure,Facility Industrial,41.1662,-73.1823,CT,BRIDGEPORT,7000
20144,LIS Trawl 9-26,Eastern LIS - CT,Estuary,41.16665,-72.6603,CT,Unknown,0
17712,Fivemile River,at Country Club Road,River/Stream,41.168302,-73.504984,CT,NEW CANAAN,7401
15673,Pequonnock River,Pequonnock River 20 ft Right bank BE Intake structure,Estuary,41.1688,-73.1849,CT,BRIDGEPORT,7105
14445,Saugatuck River,at DS end of Fly Fishing Only Area (1 Ford Rd),River/Stream,41.1693,-73.367,CT,WESTPORT,7200
17711,Fivemile River  Tributary to,at Indian Rock Road upstream of Country Club road,River/Stream,41.169673,-73.503011,CT,NEW CANAAN,7401
16663,Fivemile River,Parallel to Indian Rock Rd US driveway for # 108,River/Stream,41.1697,-73.5078,CT,NEW CANAAN,7401
15446,Great Brook,North side Merwins lane at Fair Oak Drive intersection,River/Stream,41.1697,-73.3014,CT,FAIRFIELD,7109
19332,Laurel Reservoir,center of lake,Reservoir,41.1701,-73.55,CT,NEW CANAAN,7404
16346,Norwalk River,at # 77 Norwalk Road (Route 7) at ASML litographics company,River/Stream,41.1703,-73.4172,CT,WILTON,7300
15672,Bridgeport Energy,at condesor inside 10 atlantic street,Facility Industrial,41.1709,-73.1709,CT,BRIDGEPORT,7000
15364,West Branch Saugatuck River,at mouth Glendenning Parking Lot,River/Stream,41.1718,-73.3643,CT,WESTPORT,7203
20526,NNT to Belden Hill Brook,west of Notre Dame School Sisters facility,River/Stream,41.17227,-73.44266,CT,WILTON,7302
14668,Sasco Brook,end of Horseshoe Lane upstream of storm drain.,River/Stream,41.1731,-73.3123,CT,FAIRFIELD,7109
